LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),(µm/frame),(µm),(frame),(µm),(µm),(µm),
ID177925 → ID178416,8555,177925,178416,13.751623480031673,0.8177224269589064,1.5433422326292714,4.630026697887814,300.5,1112.9139903473006,593.490125832021,0.0,
ID180650 → ID181725,8555,180650,181725,39.550474705702165,3.0372707275290263,5.510523884579539,5.510523884579539,306.5,1111.8310070118127,594.4432041422531,0.0,
ID179148 → ID180650,8555,179148,180650,2.2936340400325013,2.6025298415850218,1.6750446791688491,1.6750446791688491,305.5,1113.7149508218636,594.0513217312971,0.0,
ID177768 → ID179148,8555,177768,179148,5.306779299356083,1.6830045181598055,1.2431962327624362,1.2431962327624362,304.5,1113.5406469350162,594.4561605871985,0.0,
ID182408 → ID182817,8555,182408,182817,13.002935383179542,2.0090360916114323,1.638778212102133,1.638778212102133,309.5,1103.5671938714336,592.7430844330484,0.0,
ID176274 → ID177925,8555,176274,177925,15.670693448063949,2.816143455616234,2.3526502523434836,2.3526502523434836,298.5,1114.4970431870947,593.6661665276085,0.0,
ID183610 → ID183520,8555,183610,183520,11.112633425798531,0.06030680739391547,2.1336524161153747,2.1336524161153747,311.5,1105.1946714947583,594.3317798240971,0.0,
ID173052 → ID173579,8555,173052,173579,0.17870332070140543,NaN,0.4227331554318935,0.4227331554318935,293.5,1114.4814816747203,595.9147225185161,0.0,
ID181725 → ID182408,8555,181725,182408,23.18717049057343,0.38770610200062894,3.1915578414620374,6.383115682924075,308.0,1106.3999370115682,593.5263896605304,0.0,
ID178148 → ID177768,8555,178148,177768,6.284559668058778,2.2827182340615018,1.8394235880641714,1.8394235880641714,303.5,1113.882979209691,595.4496568467789,0.0,
ID175169 → ID175097,8555,175169,175097,87.41451200899077,3.0767462215618107,6.835176331989327,6.835176331989327,296.5,1117.1953587459388,595.8721588277176,0.0,
ID182817 → ID183610,8555,182817,183610,13.648446099072943,1.2652090712304074,0.7998494197754814,0.7998494197754814,310.5,1103.8657416537258,593.712302209929,0.0,
ID173708 → ID175169,8555,173708,175169,97.75690729805879,2.6006246583404584,7.6476793019353995,7.6476793019353995,295.5,1116.730158887378,595.9318507646155,0.0,
ID173579 → ID173708,8555,173579,173708,5.662591816964317,1.6172439373625194,1.8854203212505163,1.8854203212505163,294.5,1113.739274564004,595.3113955138052,0.0,
ID173767 → ID174820,8556,173767,174820,450.1134824633745,NaN,12.019086890713302,12.019086890713302,294.5,785.7803506305145,739.8911202992447,0.0,
ID174820 → ID175526,8556,174820,175526,39.853191227091706,0.1650629941491724,7.6451114198924754,7.6451114198924754,295.5,779.8395130390168,747.685487303643,0.0,
ID180890 → ID178532,8557,180890,178532,2.9769031755412936,0.2886803871224813,0.19996114584933924,0.19996114584933924,301.5,1372.4486154374326,710.1689626575924,0.0,
ID175388 → ID175196,8557,175388,175196,54.69235279447868,3.095077262615436,4.439365138785485,4.439365138785485,296.5,1381.1298638815153,710.6982248326782,0.0,
ID176389 → ID180890,8557,176389,180890,35.06343615657195,0.30751478050637393,1.6009152278192926,4.802745683457878,299.5,1374.8769051383128,710.7523221683819,0.0,
