LABEL,TRACK_ID,N_PREDECESSORS,N_SUCCESSORS,DELTA_T,DISTANCE,MEAN_VELOCITY,TOTAL_DISTANCE,FIRST,LAST,MEAN_SUCCESSORS_DELAY,MEAN_PREDECESSORS_DELAY
Label,Track ID,Track ID,Track ID,Branch duration,Distance traveled,Mean velocity,Total distance,First spot ID,Last spot ID,Mean successors delay,Mean predecessors delay
Label,Track ID,N predecessors,N successors,Delta T,Dist,Mean V,Tot Dist,First ID,Last ID,Succ Delay,Pred Delay
,,,,(frame),( ),( /frame),( ),,,(frame),(frame)
Track_1199: ID579204 → ID579509,191,0,0,1.0,0.11495495874171366,0.11495495874171366,0.11495495874171366,579204,579509,0.0,0.0
Track_1196: ID579327 → ID593042,188,0,0,81.0,7.342865217658714,1.4188178146188233,114.92424298412469,579327,593042,0.0,0.0
Track_1202: ID579826 → ID599949,194,0,0,124.0,23.76215882209235,0.5763214197479228,71.46385604874243,579826,599949,0.0,0.0
Track_1200: ID579848 → ID593936,192,0,0,86.0,7.4707142042857235,0.627247098739824,53.943250491624866,579848,593936,0.0,0.0
Track_1201: ID579849 → ID583844,193,0,0,25.0,4.134652206502153,0.6021380463479432,15.05345115869858,579849,583844,0.0,0.0
Track_1205: ID580916 → ID582255,197,0,0,13.0,3.9205049649653243,0.5257577615168777,6.8348508997194095,580916,582255,0.0,0.0
Track_1203: ID580994 → ID582307,195,0,0,13.0,3.8078521782898824,0.6445255132945078,8.378831672828602,580994,582307,0.0,0.0
Track_1204: ID581011 → ID580220,196,0,0,1.0,0.4145157983809816,0.4145157983809816,0.4145157983809816,581011,580220,0.0,0.0
Track_1206: ID581587 → ID582975,198,0,0,11.0,1.357321207315194,0.6324602332505328,6.9570625657558605,581587,582975,0.0,0.0
Track_1207: ID582440 → ID583349,199,0,0,6.0,3.2980897345524016,0.5682474773807363,3.4094848642844178,582440,583349,0.0,0.0
Track_1208: ID582724 → ID593581,200,0,0,61.0,10.329741244001642,0.817350469809076,49.85837865835364,582724,593581,0.0,0.0
