LABEL,TRACK_ID,SPOT_SOURCE_ID,SPOT_TARGET_ID,LINK_COST,DIRECTIONAL_CHANGE_RATE,SPEED,DISPLACEMENT,EDGE_TIME,EDGE_X_LOCATION,EDGE_Y_LOCATION,EDGE_Z_LOCATION,MANUAL_EDGE_COLOR
Label,Track ID,Source spot ID,Target spot ID,Edge cost,Directional change rate,Speed,Displacement,Edge time,Edge X,Edge Y,Edge Z,Manual edge color
Label,Track ID,Source ID,Target ID,Cost,γ rate,Speed,Disp.,Edge T,Edge X,Edge Y,Edge Z,Edge color
,,,,(cost),(rad/frame),( /frame),( ),(frame),( ),( ),( ),
ID714972 → ID714903,343,714972,714903,0.3074021336886071,0.7212445651020628,0.8235858264501311,0.8235858264501311,970.5,297.82669417417907,289.5439529268009,0.0,
ID711959 → ID712016,343,711959,712016,0.08609024223447327,0.7345479200369202,0.1614796185664073,0.1614796185664073,951.5,299.24017751273107,292.8867181083952,0.0,
ID713809 → ID714164,343,713809,714164,0.17213231782865315,2.7355797890704574,0.19508635542006064,0.19508635542006064,963.5,298.1946869100964,291.9555613960131,0.0,
ID714548 → ID714455,343,714548,714455,0.2482314537839061,1.7780254928804622,0.21439902818027654,0.21439902818027654,967.5,298.1197033250113,290.66214713587897,0.0,
ID715059 → ID714972,343,715059,714972,0.15235779125470308,1.1529259788601334,0.28374375745423613,0.28374375745423613,969.5,297.7900913463528,290.06941372486807,0.0,
ID713244 → ID713254,343,713244,713254,0.046409341972990265,0.6901752978323152,0.12251441347061272,0.12251441347061272,959.5,298.703180925609,291.53375085181676,0.0,
ID712500 → ID712750,343,712500,712750,0.04446755743463764,0.6829743563982913,0.1950364569443124,0.1950364569443124,955.5,299.34242723569423,292.3971954040725,0.0,
ID714164 → ID714601,343,714164,714601,1.4603146654252568,0.3493530705774881,0.484325624404396,0.968651248808792,965.0,298.2219430526844,291.3937000788719,0.0,
ID711220 → ID711672,343,711220,711672,0.564996100722063,1.6827794579278643,0.42253560131441975,0.42253560131441975,948.5,300.4475557475464,293.10468221467454,0.0,
ID711116 → ID711126,343,711116,711126,0.08747684377847771,NaN,0.2865052722532232,0.2865052722532232,946.5,300.5421045460688,293.59878688125286,0.0,
ID714455 → ID715059,343,714455,715059,0.20303470336123056,1.5088308705689262,0.6136248442764076,0.6136248442764076,968.5,297.8665768732258,290.4485444791296,0.0,
ID712910 → ID713149,343,712910,713149,1.9764195640493007,2.512589066711993,0.7681189288432496,0.7681189288432496,957.5,299.3543185873667,291.3589005169383,0.0,
ID713149 → ID713244,343,713149,713244,0.017939695177293043,0.8706214968854598,0.2916906951061026,0.2916906951061026,958.5,298.89987160620973,291.5444671004907,0.0,
ID713658 → ID713660,343,713658,713660,0.01126161677053573,0.3928653441031219,0.26060127826809065,0.26060127826809065,961.5,298.3027949674919,291.5593692861034,0.0,
ID713254 → ID713658,343,713254,713658,0.0012106372176912616,0.29208383463276977,0.2208703237375712,0.2208703237375712,960.5,298.53837926261485,291.57553164716245,0.0,
